shot_id,match_id,competition,season,team,player,period,game_time,location_x,location_y,distance_to_goal_m,shot_angle_deg,y_from_center,body_part,free_kick_type,player_fk_attempts,xg,is_goal
8317cba0d52126f9507eabde1f282150,3890381,1. Bundesliga,2015-2016,Eintracht Frankfurt,Bastian Oczipka,1,36 min 12 sec,96.6,48.5,24.9,17.23,8.5,Left Foot,direct,2,0.0713,0
fb02fcbca7439efcc75f0a7d82aa7938,3890382,1. Bundesliga,2015-2016,Bayer Leverkusen,Hakan Çalhanoğlu,1,38 min 18 sec,107.0,62.5,25.99,8.96,22.5,Right Foot,direct,33,0.0086,0
1873127125684d5a9d3767387fd020ea,3890382,1. Bundesliga,2015-2016,Bayer Leverkusen,Hakan Çalhanoğlu,1,3 min 44 sec,88.1,38.1,31.96,14.25,1.9,Right Foot,direct,33,0.026,0
7dc5a92a2560dd00d884beac2385caad,3890384,1. Bundesliga,2015-2016,Borussia Dortmund,İlkay Gündoğan,2,51 min 2 sec,84.6,12.6,44.77,8.11,27.4,Right Foot,direct,8,0.0044,0
26bb12dc43d2607eb5a339a0a2bb59c4,3890385,1. Bundesliga,2015-2016,Schalke 04,Johannes Geis,2,67 min 54 sec,102.7,16.8,28.94,9.56,23.2,Right Foot,direct,23,0.0081,0
f3ddd7323ab74aa2c82190d45de6375d,3890386,1. Bundesliga,2015-2016,Hamburger SV,Michael Gregoritsch,1,40 min 31 sec,89.1,26.9,33.56,12.55,13.1,Left Foot,direct,11,0.0151,0
f3a4bb7752406d2f148ab2cec8957d88,3890388,1. Bundesliga,2015-2016,Borussia Dortmund,İlkay Gündoğan,1,2 min 10 sec,90.9,37.7,29.19,15.56,2.3,Right Foot,direct,8,0.048,0
5b43cdd621af5f1dd35fcd62a190ddb3,3890389,1. Bundesliga,2015-2016,Ingolstadt,Roger Bernardo,2,65 min 51 sec,96.5,38.4,23.55,19.23,1.6,Right Foot,direct,4,0.0837,1
dc8b268c5f0f22e16719830646a9c140,3890389,1. Bundesliga,2015-2016,Ingolstadt,Pascal Groß,1,36 min 31 sec,94.8,41.9,25.27,17.94,1.9,Right Foot,direct,11,0.0652,0
967739e6fa07ee8065963282087f341e,3890391,1. Bundesliga,2015-2016,Augsburg,Raúl Bobadilla,1,21 min 37 sec,91.6,29.3,30.35,14.09,10.7,Right Foot,direct,7,0.0406,0
ca1ac3d219e0f20cfe2d6c54fc9ad112,3890391,1. Bundesliga,2015-2016,Augsburg,Raúl Bobadilla,2,63 min 38 sec,94.5,36.5,25.74,17.51,3.5,Right Foot,direct,7,0.0662,1
63f34ba603ba35a4784a827b4e0b7167,3890391,1. Bundesliga,2015-2016,Augsburg,Alexander Esswein,2,79 min 9 sec,91.4,44.8,29.0,15.5,4.8,Right Foot,direct,5,0.0474,0
d9500be66c04d7ca948cb9ab4d5eda43,3890393,1. Bundesliga,2015-2016,Darmstadt 98,Tobias Kempe,1,10 min 26 sec,86.4,41.8,33.65,13.54,1.8,Right Foot,direct,7,0.0218,0
